,Chemical,Url,Dates,Uses
19,Alcoholic beverages,https://oehha.ca.gov/chemicals/alcoholic-beverages-0,['04/29/2011'],[]
20,"Alcoholic Beverages, when associated with alcohol abuse",https://oehha.ca.gov/chemicals/alcoholic-beverages,['07/01/1988'],[]
21,Aldrin,https://oehha.ca.gov/chemicals/aldrin,['07/01/1988'],"For chemical-specific screening levels for use in assessing contaminated sites, please see HHRA Note 3 (DTSC HERO). https://www.dtsc.ca.gov/assessingrisk/humanrisk2.cfm"
22,All-trans Retinoic Acid,https://oehha.ca.gov/chemicals/all-trans-retinoic-acid,['01/01/1989'],"Metabolite of vitamin A (retinol); medicine (acne treatment), skin care products"
23,Allyl Chloride,https://oehha.ca.gov/chemicals/allyl-chloride,['01/01/1990'],"Production of epichlorohydrin, glycerin, pesticides, and pharmaceuticals"
24,Allyl Isovalerate,https://oehha.ca.gov/chemicals/allyl-isovalerate,[],"Allyl isovalerate is a colorless liquid primarily used as a flavoring agent and as in cosmetics, lotions, and perfumes and in certain food products"
25,"Aloe Vera, non-decolorized whole leaf extract",https://oehha.ca.gov/chemicals/aloe-vera-whole-leaf-extract,['12/04/2015'],Dietary supplement and food and beverage additive. Also used as a therapeutic dermatologic agent in a variety of topical health care products and cosmetics.
26,alpha-Methylstyrene,https://oehha.ca.gov/chemicals/alpha-methylstyrene,"['11/02/2012', '07/29/2011']","Female reproductive toxicity endpoint removed from listing for α-methyl styrene effective April 4, 2014."
27,Alprazolam,https://oehha.ca.gov/chemicals/alprazolam,['07/01/1990'],Medicine (treatment of anxiety disorders); most prescribed and most misused benzodiazepine in US.
28,Altretamine,https://oehha.ca.gov/chemicals/altretamine,"['08/20/1999', '08/20/1999']",Medicine (antineoplastic)
29,Aluminum,https://oehha.ca.gov/chemicals/aluminum,[],"Alloys for beverage containers, electronics, vehicles, appliances, construction materials, household items, cosmetics; component of paints, pigments, missile fuel, and explosives; optical coatings"
30,Amantadine Hydrochloride,https://oehha.ca.gov/chemicals/amantadine-hydrochloride,['02/27/2001'],"Medicine (NMDA-receptor antagonist, antiviral; treatment for influenza, Parkinson's disease, and shingles)"
31,Amikacin Sulfate,https://oehha.ca.gov/chemicals/amikacin-sulfate,['07/01/1990'],Medicine (antibiotic)
32,"1-Amino-2,4-dibromoanthraquinone",https://oehha.ca.gov/chemicals/1-amino-24-dibromoanthraquinone,['08/26/1997'],[]
33,1-Amino-2-methylanthraquinone,https://oehha.ca.gov/chemicals/1-amino-2-methylanthraquinone,['10/01/1989'],Dye; chemical intermediate in production of dyes. No production or import in the US since 1974.
34,4-Amino-2-nitrophenol,https://oehha.ca.gov/chemicals/4-amino-2-nitrophenol,['01/29/1999'],Hair dye
35,2-Amino-4-(isopropyl-d7-amino)-6-chloro-triazine,https://oehha.ca.gov/chemicals/2-amino-4-isopropyl-d7-amino-6-chloro-triazine,"['07/15/2016', '07/15/2016']","2-Amino-4-isopropylamino-6-chlorotriazine,"
36,2-Amino-4-Chlorophenol,https://oehha.ca.gov/chemicals/2-amino-4-chlorophenol,['09/13/2019'],[]
37,3-Amino-9-ethylcarbazolehydrochloride,https://oehha.ca.gov/chemicals/3-amino-9-ethylcarbazolehydrochloride,['07/01/1989'],Chemical intermediate in production of aromatic amine dyes (CI Pigment Violet 23 and CI Direct Blue 108)
38,Amino-alpha-carboline,https://oehha.ca.gov/chemicals/amino-alpha-carboline,['01/01/1990'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
39,2-Aminoanthraquinone,https://oehha.ca.gov/chemicals/2-aminoanthraquinone,['10/01/1989'],Production of dyes
40,p-Aminoazobenzene,https://oehha.ca.gov/chemicals/p-aminoazobenzene,['01/01/1990'],[]
41,o-Aminoazotoluene,https://oehha.ca.gov/chemicals/o-aminoazotoluene,['07/01/1987'],"Azo dyes, chemical intermediate (dyes)"
42,4-Aminobiphenyl,https://oehha.ca.gov/chemicals/4-aminobiphenyl,['02/27/1987'],Production of azo dyes; component of tobacco smoke
43,2-Aminofluorene,https://oehha.ca.gov/chemicals/2-aminofluorene,['01/29/1999'],Research chemical
44,Aminoglutethimide,https://oehha.ca.gov/chemicals/aminoglutethimide,['07/01/1990'],"Medicine (treatment of Cushing's syndrome, metastatic breast cancer); used by body builders in a steroid cycle"
45,Aminoglycosides,https://oehha.ca.gov/chemicals/aminoglycosides,['10/01/1992'],[]
46,Aminopterin,https://oehha.ca.gov/chemicals/aminopterin,"['07/01/1987', '07/01/1987']",Former medicine (antineoplastic with immunosuppressive qualities) to treat leukemia until the 1950s; current investigation for further medicinal use.
47,Amiodarone Hydrochloride,https://oehha.ca.gov/chemicals/amiodarone-hydrochloride,"['08/26/1997', '08/26/1997', '08/26/1997']",Medicine (antiarrhythmic; ion channel blocker)
48,Amitraz,https://oehha.ca.gov/chemicals/amitraz,['03/30/1999'],"Acaricide, insecticide; veterinary medicine (ectoparasiticide)"
49,Amitrole,https://oehha.ca.gov/chemicals/amitrole,['07/01/1987'],"Herbicide for non-cropland grasses, broadleaf weeds, and aquatic weeds; use on food crops in the US cancelled by the EPA in 1971"
50,Ammonia,https://oehha.ca.gov/chemicals/ammonia,[],"Fertilizer, household cleaning solution, fermentation (nitrogen source), refrigerant, fuel, antimicrobial agent for animal feed and beef products; production of fertilizer and explosives; component of tobacco smoke"
51,Amoxapine,https://oehha.ca.gov/chemicals/amoxapine,['05/15/1998'],Medicine (antidepressant)
52,Amsacrine,https://oehha.ca.gov/chemicals/amsacrine,['08/07/2009'],Medicine (treatment of leukemia)
53,Anabolic Steroids,https://oehha.ca.gov/chemicals/anabolic-steroids,"['04/01/1990', '04/01/1990']",[]
54,Analgesic mixtures containing Phenacetin,https://oehha.ca.gov/chemicals/analgesic-mixtures-containing-phenacetin,['02/27/1987'],[]
55,Androstenedione,https://oehha.ca.gov/chemicals/androstenedione,['05/03/2011'],Performance enhancement (androgenic anabolic steroid precursor)
56,Angiotensin converting enzyme (ACE) inhibitors,https://oehha.ca.gov/chemicals/angiotensin-converting-enzyme-ace-inhibitors,['10/01/1992'],[]
57,Anilazine,https://oehha.ca.gov/chemicals/anilazine,[],Pesticide; fungicide
58,Aniline,https://oehha.ca.gov/chemicals/aniline,['01/01/1990'],"Solvent, antiknock additive to gasoline; chemical intermediate in production of rubber, herbicides, dyes and pigments, resins, varnishes, polyurethane, explosives; component of tobacco smoke"
59,Aniline Hydrochloride,https://oehha.ca.gov/chemicals/aniline-hydrochloride,['05/15/1998'],Dyeing and printing; chemical synthesis
60,o-Anisidine,https://oehha.ca.gov/chemicals/o-anisidine,['07/01/1987'],Chemical intermediate in production of azo dyes and guaiacol
61,o-Anisidine Hydrochloride,https://oehha.ca.gov/chemicals/o-anisidine-hydrochloride,['07/01/1987'],"Corrosion inhibitor, antioxidant for polymercaptan resins; chemical intermediate in production of dyes and pigments, pharmaceuticals"
62,Anisindione,https://oehha.ca.gov/chemicals/anisindione,['10/01/1992'],Medicine (anticoagulant)
63,Anthraquinone,https://oehha.ca.gov/chemicals/anthraquinone,['09/28/2007'],"Production of dyes, paper, pharmaceuticals; bird repellant on seeds, gas generator in satellite balloons"
64,Antimony,https://oehha.ca.gov/chemicals/antimony,[],"Alloys, cosmetics, medicine (emetic); flame retardation"
65,Antimony Trioxide,https://oehha.ca.gov/chemicals/antimony-trioxide,['10/01/1990'],"Component of flame retardant treatment for polymers; opacifying agent for glasses, ceramics, and enamels; specialty pigments; naturally occurring as valentinite and senarmontite"
66,Aramite,https://oehha.ca.gov/chemicals/aramite,['07/01/1987'],Former acaricide and antimicrobial agent
67,Areca Nut,https://oehha.ca.gov/chemicals/areca-nut,['02/03/2006'],"Grows in South and Southeast Asia; chewed with betel leaf for mild stimulant effect; component of Ayurvedic and traditional Chinese medicines, may be used to remove intestinal parasites"
68,Aristolochic Acids,https://oehha.ca.gov/chemicals/aristolochic-acids,['07/09/2004'],[]
69,Arsenic,https://oehha.ca.gov/chemicals/arsenic,['02/27/1987'],"Wood preservative, herbicide, nonferrous alloys, medicine (leukemia treatment); component of tobacco smoke. Formerly used in optical glass."
70,Arsine,https://oehha.ca.gov/chemicals/arsine,[],"Synthesis of semiconducting materials, metals refining; proposed chemical warfare weapon during World War II"
71,Asbestos,https://oehha.ca.gov/chemicals/asbestos,['02/27/1987'],"Heat resistant agent used in construction materials, clothing, disk brake pads, gaskets. Use in the US banned for spray-applied surfacing (1973, 1978, 1990); pipe and block insulation on facility components (1975); papers, flooring felt, and rollboard (1976); artificial embers and wall-patching compounds (1977)."
72,Aspirin,https://oehha.ca.gov/chemicals/aspirin,"['07/01/1990', '07/01/1990']","Medicine (analgesic, anti-inflammatory, antipyretic)"
73,Atenolol,https://oehha.ca.gov/chemicals/atenolol,['08/26/1997'],Medicine (beta blocker)
74,Atorvastatin calcium,https://oehha.ca.gov/chemicals/atorvastatin-calcium,[],A statin drug used to lower cholesterol and triglyceride levels in the blood
75,Atrazine,https://oehha.ca.gov/chemicals/atrazine,"['07/15/2016', '07/15/2016']",Herbicide
76,Atrazine-desisopropyl,https://oehha.ca.gov/chemicals/atrazine-desisopropyl,"['07/15/2016', '07/15/2016']","des-isopropyl atrazine,"
77,Auramine,https://oehha.ca.gov/chemicals/auramine,['07/01/1987'],"Dye, fungicide, medicine (antiseptic); preparation of solvent yellow 34"
78,Auranofin,https://oehha.ca.gov/chemicals/auranofin,['01/29/1999'],"Medicine (anti-inflammatory, anti-arthritic effects)"
79,Avermectin B1 (Abamectin),https://oehha.ca.gov/chemicals/avermectin-b1-abamectin,['12/03/2010'],"Insecticide, veterinary medicine (antihelmintic)"
80,Azacitidine,https://oehha.ca.gov/chemicals/azacitidine,['01/01/1992'],Medicine (treatment of myelodysplastic syndrome)
81,Azaserine,https://oehha.ca.gov/chemicals/azaserine,['07/01/1987'],"Medicine (antifungal), veterinary medicine (antibiotic, antineoplastic)"
82,Azathioprine,https://oehha.ca.gov/chemicals/azathioprine,"['02/27/1987', '09/01/1996']",Medicine (immunosuppression)
83,Azinphos-methyl,https://oehha.ca.gov/chemicals/azinphos-methyl,[],broad spectrum organophosphate insecticide
84,Azobenzene,https://oehha.ca.gov/chemicals/azobenzene,['01/01/1990'],"Chemical intermediate in production of dyes, rubber accelerators, benzidine, insecticides, and pyrazolone derivatives. Formerly used as greenhouse fumigant against insects and mites."
85,Barbiturates,https://oehha.ca.gov/chemicals/barbiturates,['10/01/1992'],[]
86,Barium,https://oehha.ca.gov/chemicals/barium,[],"Component of paints, soap, paper, rubber, alloys; manufacture of ceramics and glass"
87,Beclomethasone Dipropionate,https://oehha.ca.gov/chemicals/beclomethasone-dipropionate,['05/15/1998'],Medicine (glucocorticoid steroid)
88,Benomyl,https://oehha.ca.gov/chemicals/benomyl,"['07/01/1991', '07/01/1991']","Pesticide, fungicide. All registrations voluntarily cancelled in the US by 2002; estimated no use in US after 2003."
89,Bensulfuron-methyl,https://oehha.ca.gov/chemicals/bensulfuron-methyl,[],Herbicide
90,Bentazon,https://oehha.ca.gov/chemicals/bentazon,[],Herbicide (selective)
91,Benthiavalicarb-isopropyl,https://oehha.ca.gov/chemicals/benthiavalicarb-isopropyl,['07/01/2008'],Fungicide; not currently registered for use in the US
92,Benz(a)anthracene,https://oehha.ca.gov/chemicals/benzaanthracene,['07/01/1987'],"Research chemical; chemical intermediate; component of tobacco smoke. Found in coal tar, roasted coffee, smoked foods, and automobile exhaust"
93,Benzene,https://oehha.ca.gov/chemicals/benzene,"['02/27/1987', '12/26/1997', '12/26/1997']","Additive in gasoline, solvent, oil extraction, photogravure printing, veterinary medicine (disinfectant); production of detergents, explosives, pharmaceuticals, and dyestuffs; chemical intermediate in production of ethylbenzene (styrene), cumene, cyclohexane; component of combustion emissions and tobacco smoke"
94,Benzidine,https://oehha.ca.gov/chemicals/benzidine,['02/27/1987'],"Formerly used to test for blood, produce dyes, No longer produced, used, or imported in US, though benzidine-based dyes may be imported."
95,Benzidine-based Dyes,https://oehha.ca.gov/chemicals/benzidine-based-dyes,['10/01/1992'],[]
96,Benzodiazepines,https://oehha.ca.gov/chemicals/benzodiazepines,['10/01/1992'],Medicine (tranquilizers)
97,Benzofuran,https://oehha.ca.gov/chemicals/benzofuran,['10/01/1990'],Component extracted from coal tar; component of coumarone-indene resin (used in food packaging)
98,Benzophenone,https://oehha.ca.gov/chemicals/benzophenone,['06/22/2012'],"Photo initiator in UV-curing applications, UV blocker; biological analysis (photophysical probe)"
99,Benzotrichloride,https://oehha.ca.gov/chemicals/benzotrichloride,['07/01/1987'],Production of dyes; chemical intermediate
100,Benzo[a]pyrene,https://oehha.ca.gov/chemicals/benzoapyrene,['07/01/1987'],"Component of coal tar, diesel emissions, and smoke resulting from combustion of organic material, including tobacco smoke"
101,Benzo[b]fluoranthene,https://oehha.ca.gov/chemicals/benzobfluoranthene,['07/01/1987'],"Research chemical; found in coal, coke oven emissions, petroleum products"
102,Benzo[j]fluoranthene,https://oehha.ca.gov/chemicals/benzojfluoranthene,['07/01/1987'],Research chemical (induces cancer); component of tobacco smoke
103,Benzo[k]fluoranthene,https://oehha.ca.gov/chemicals/benzokfluoranthene,['07/01/1987'],Product of combustion; component of tobacco smoke
104,Benzphetamine Hydrochloride,https://oehha.ca.gov/chemicals/benzphetamine-hydrochloride,['04/01/1990'],Medicine (induce weight loss)
105,Benzyl Acetate,https://oehha.ca.gov/chemicals/benzyl-acetate,[],"Solvent used in perfumery and in chemical synthesis; artificial jasmine and other perfumes; flavoring; solvent and high boiler for cellulose acetate and nitrate, natural and synthetic resins, oils, lacquers, polishes, printing inks, and varnish removers"
106,Benzyl Chloride,https://oehha.ca.gov/chemicals/benzyl-chloride,['01/01/1990'],"Chemical intermediate in manufacture of dyes, plasticizers, lubricants, gasoline additives, flavorings, pharmaceuticals, tanning agents, and quaternary ammonium compounds; irritant gas in chemical warfare, photographic developer"
107,Benzyl Violet 4B,https://oehha.ca.gov/chemicals/benzyl-violet-4b,['07/01/1987'],"Dye for wool, silk, nylon, leather and anodized aluminum. Biological stain, wood stain, inks and colored paper. Has been used as a color additive in food, drugs and cosmetics"
108,Beryllium,https://oehha.ca.gov/chemicals/beryllium,['10/01/1987'],"Naturally occurring element; strengthening and conductive component used alone or in alloys (ie. aerospace material, electronics, fuel containers); component of tobacco smoke"
109,Beryllium Oxide,https://oehha.ca.gov/chemicals/beryllium-oxide,[],"Sintered to produce ceramic; semiconductor parts, filler in thermal interface materials, electronic and microelectronic applications"
110,Beryllium Sulfate,https://oehha.ca.gov/chemicals/beryllium-sulfate,[],"Chemical intermediate production of beryllium salts, ceramics, and chemical reagents"
111,Betel quid with tobacco,https://oehha.ca.gov/chemicals/betel-quid-tobacco,['01/01/1990'],"Recreational stimulant, often containing betel leaf, areca nut, and/or slaked lime"
112,Betel quid without tobacco,https://oehha.ca.gov/chemicals/betel-quid-without-tobacco,['02/03/2006'],"Recreational stimulant, often containing betel leaf, areca nut, and/or slaked lime"
113,Bevacizumab,https://oehha.ca.gov/chemicals/bevacizumab,"['03/08/2019', '03/08/2019']",[]
114,Bifenthrin,https://oehha.ca.gov/chemicals/bifenthrin,[],pyrethroid insecticide
115,"Bis(2-chloro-1-methylethyl)ether, Technical Grade",https://oehha.ca.gov/chemicals/bis2-chloro-1-methylethylether-technical-grade,['10/29/1999'],[]
116,Bis(2-chloroethyl) Ether,https://oehha.ca.gov/chemicals/bis2-chloroethyl-ether,['04/01/1988'],"Chemical intermediate in production of pesticides; solvent, rust inhibitor"
117,Bis(2-chloromethyl) Ether,https://oehha.ca.gov/chemicals/bis2-chloromethyl-ether,['02/27/1987'],"Research chemical, lab reagent. Formerly used in manufacture of polymers, but it is no longer used commercially in the US."
118,"2,2-Bis(bromomethyl)-1,3-propanediol",https://oehha.ca.gov/chemicals/22-bisbromomethyl-13-propanediol,['05/01/1996'],"Reactive flame retardant in unsaturated polyester resins, moulded products, and rigid polyurethane foam"
119,Bischloroethyl Nitrosourea (BCNU),https://oehha.ca.gov/chemicals/bischloroethyl-nitrosourea-bcnu,"['07/01/1987', '07/01/1990']",Medicine (antineoplastic)
120,Bisphenol-A,https://oehha.ca.gov/chemicals/bisphenol-a,"['04/11/2013', '05/11/2015']","Used to make certain plastics and epoxy resins. BPA-based plastic is made into a variety of common consumer goods, such as water bottles, sports equipment, CDs, and DVDs. Epoxy resins containing BPA are used as coatings on the inside of many food and beverage cans and in making thermal paper such as that used in sales receipts."
121,"Bitumens, extracts of steam-refined and air refined",https://oehha.ca.gov/chemicals/bitumens-extracts-steam-refined-and-air-refined,['01/01/1990'],[]
122,Boric acid,https://oehha.ca.gov/chemicals/boric-acid,[],"Crosslinker in hydraulic fracturing; pesticide; insecticide; weatherproofing wood and fireproofing fabrics; preservative; ant poinsons or bait; used in the manufacture of various products, such as glass, paper products, electrical and electronic products, fabric, textile, leather products, lubricants, lawn and garden care products, and many more; flame retardant; nuclear-reactor cooling water additive; component in high contrast lith-type film developer formula; sequestrant; buffer; in cosmetic products; medication"
123,Bracken Fern,https://oehha.ca.gov/chemicals/bracken-fern,['01/01/1990'],Grows with worldwide distribution; immature fronds (fiddleheads) are used as foodstuff
124,Bromacil,https://oehha.ca.gov/chemicals/bromacil,[],"Pesticide, herbicide"
125,Bromacil Lithium Salt,https://oehha.ca.gov/chemicals/bromacil-lithium-salt,"['05/18/1999', '01/17/2003']",Herbicide
126,Bromate,https://oehha.ca.gov/chemicals/bromate,['05/31/2002'],Formed when water containing bromide is disinfected with ozone
127,Bromochloroacetic Acid,https://oehha.ca.gov/chemicals/bromochloroacetic-acid,['04/06/2010'],Research chemical
128,Bromodichloroacetic acid,https://oehha.ca.gov/chemicals/bromodichloroacetic-acid,['07/29/2016'],[]
129,Bromodichloromethane,https://oehha.ca.gov/chemicals/bromodichloromethane,['01/01/1990'],Chemical intermediate (organic). Found in drinking water as byproduct of chlorination process. Formerly used as flame retardent and solvent.
130,Bromoethane,https://oehha.ca.gov/chemicals/bromoethane,['12/22/2000'],Ethylating agent
131,Bromoform,https://oehha.ca.gov/chemicals/bromoform,['04/01/1991'],"Analytical reagent. Formerly used as solvent, medicine (sedative), flame retardant"
132,1-Bromopropane,https://oehha.ca.gov/chemicals/1-bromopropane,"['08/05/2016', '12/07/2004', '12/07/2004', '12/07/2004']","Solvent for adhesives, cleaning of metal surfaces, and dry-cleaning; aerosol propellant"
133,2-Bromopropane,https://oehha.ca.gov/chemicals/2-bromopropane,"['05/31/2005', '05/31/2005']","Chemical intermediate in the synthesis of pharmaceuticals, dyes, and other organic chemicals; contaminant of 1-bromopropane"
134,Bromoxynil,https://oehha.ca.gov/chemicals/bromoxynil,['10/01/1990'],Nitrile herbicide
135,Bromoxynil Octanoate,https://oehha.ca.gov/chemicals/bromoxynil-octanoate,['05/18/1999'],Nitrile herbicide
136,Butabarbital Sodium,https://oehha.ca.gov/chemicals/butabarbital-sodium,['10/01/1992'],Medicine (sedative)
137,"1,3-Butadiene",https://oehha.ca.gov/chemicals/13-butadiene,"['04/01/1988', '04/16/2004', '04/16/2004', '04/16/2004']","Polymer component in production of synthetic rubber, plastic, and fuel; chemical intermediate (nylon); component of tobacco smoke"
138,"1,4-Butanediol Dimethanesulfonate",https://oehha.ca.gov/chemicals/14-butanediol-dimethanesulfonate,"['02/27/1987', '01/01/1989']","Medicine (alkylating agent with select immunosuppressive effects, palliative treatment of chronic myeloid leukemia)"
139,"2,4-D Butoxyethanol Ester",https://oehha.ca.gov/chemicals/24-d-butoxyethanol-ester,[],Herbicide
140,Butyl Benzyl Phthalate,https://oehha.ca.gov/chemicals/butyl-benzyl-phthalate,['12/02/2005'],"Plasticizer for PVC, vinyl foams, polymer coatings for textiles"
141,"2,4-D n-Butyl Ester",https://oehha.ca.gov/chemicals/24-d-n-butyl-ester,[],Herbicide
142,"2,4,5-T Butyl Ester",https://oehha.ca.gov/chemicals/245-t-butyl-ester,[],"Herbicide used on rice fields, orchards, sugarcane, rangeland and other noncrop sites; US EPA terminated all registration for the use of this herbicide in 1985"
143,n-Butyl glycidyl ether,https://oehha.ca.gov/chemicals/n-butyl-glycidyl-ether,['08/07/2009'],"Used as a reactive diluent in epoxy resins, and as an acid acceptor for
stabilizing chlorinated solvents and chemical intermediates"
144,Butylated Hydroxyanisole,https://oehha.ca.gov/chemicals/butylated-hydroxyanisole,['01/01/1990'],"Antioxidant and preservative in fat-containing food, food packaging, animal feed, cosmetics, and petroleum products"
145,"2,4-D Butyric Acid",https://oehha.ca.gov/chemicals/24-d-butyric-acid,"['06/18/1999', '06/18/1999']",Herbicide
146,beta-Butyrolactone,https://oehha.ca.gov/chemicals/beta-butyrolactone,['07/01/1987'],Building block for organic synthesis
147,C.I. Acid Red 114,https://oehha.ca.gov/chemicals/ci-acid-red-114,['07/01/1992'],Dye
148,C.I. Basic Red 9 Monohydrochloride,https://oehha.ca.gov/chemicals/ci-basic-red-9-monohydrochloride,['07/01/1989'],"Dye, pH indicator"
149,C.I. Direct Blue 15,https://oehha.ca.gov/chemicals/ci-direct-blue-15,['08/26/1997'],Dye
150,C.I. Direct Blue 218,https://oehha.ca.gov/chemicals/ci-direct-blue-218,['08/26/1997'],"Dye for fabric, leather, and paper"
151,C.I. Disperse Yellow 3,https://oehha.ca.gov/chemicals/ci-disperse-yellow-3,['02/08/2013'],Dye
152,C.I. Solvent Yellow 14,https://oehha.ca.gov/chemicals/ci-solvent-yellow-14,['05/15/1998'],Dye
153,Cacodylic Acid,https://oehha.ca.gov/chemicals/cacodylic-acid,['05/01/1996'],Herbicide
154,Cadmium,https://oehha.ca.gov/chemicals/cadmium,"['10/01/1987', '05/01/1997', '05/01/1997']","Rechargeable batteries, corrosion-resistant electroplating, barrier to control neutrons in nuclear fission, alloys, dental amalgams, plastic (PVC) stabilizer; production of pigments, television phosphors, photoelectric cells, electronics, fungicides, photography and lithography; component of tobacco smoke"
155,Caffeic Acid,https://oehha.ca.gov/chemicals/caffeic-acid,['10/01/1994'],"Found in coffee, argan oil, and barley"
156,Caffeine,https://oehha.ca.gov/chemicals/caffeine,[],[]
157,Caprolactam,https://oehha.ca.gov/chemicals/caprolactam,[],"Monomer used in manufacture of synthetic fibers and resins (Nylon 6) used in carpets, rugs, textiles, engineering plastics, tire cord, and plastic film"
158,Captafol,https://oehha.ca.gov/chemicals/captafol,['10/01/1988'],Formerly used as fungicide; use in US banned in 2006.
159,Captan,https://oehha.ca.gov/chemicals/captan,['01/01/1990'],"Agricultural and ornamental fungicide, preservative, cosmetics, medicine (bacteriostatic agent). Most food crop uses have been cancelled in the US since 1989."
160,Carbamazepine,https://oehha.ca.gov/chemicals/carbamazepine,['01/29/1999'],"Medicine (anticonvulsant, mood stabilizer)"
161,Carbaryl,https://oehha.ca.gov/chemicals/carbaryl,"['02/05/2010', '08/07/2009', '08/07/2009', '08/07/2009']",Carbamate insecticide
162,Carbazole,https://oehha.ca.gov/chemicals/carbazole,['05/01/1996'],"Chemical intermediate in production of dyes; product of incomplete combustion of organic matter, component of tobacco smoke"
163,Carbofuran,https://oehha.ca.gov/chemicals/carbofuran,[],"Insecticide, nematicide. No residential uses registered; residue on domestic and imported agricultural food products banned in US in 2009."
164,"Carbon black (airborne, unbound particles of respirable size)",https://oehha.ca.gov/chemicals/carbon-black-airborne-unbound-particles-respirable-size,['02/21/2003'],"Reinforcing filler in tires and other rubber products, pigment in plastics; model compound for diesel soot in diesel oxidation experiments; produced by incomplete combustion of heavy petroleum products"
165,Carbon dioxide,https://oehha.ca.gov/chemicals/carbon-dioxide,[],"Some uses include: pesticide; rodenticide; refrigeration; carbonated beverages; aerosol propellant; chemical intermediate (carbonates, synthetic fibers, p-xylene, etc.); fire extinguishing; municipal water treatment; medication during surgical procedures; fracturing and acidizing of oil wells; mining (Cardox method); moderator in some types of nuclear reactors; immobilization for humane animal killing; as demulsifier in tertiary oil recovery; possible source of methane; extraction of caffeine and hops aroma; dry cleaning; metal degreasing; cleaning semiconductor chips; paint spraying; polymer modification; hydraulic fracturing"
166,Carbon Disulfide,https://oehha.ca.gov/chemicals/carbon-disulfide,"['07/01/1989', '07/01/1989', '07/01/1989']","Fumigant, insecticide, solvent; production of rayon, cellophane, rubber chemicals, pesticides, carbon tetrachloride; component of tobacco smoke"
167,Carbon Monoxide,https://oehha.ca.gov/chemicals/carbon-monoxide,['07/01/1989'],"Fuel in industrial operations, reducing agent; component of tobacco smoke and other incomplete combustion emissions"
